user_id,avg_price,ever_discounted,purchase_count
"AE55KTFVNXYFD5FPYWP2OUPEYNPQ,AE7UFVGPV7KYAP74UQJAQYE5PEDQ,AGCMESD262GPMVIP77LD57FWCOSQ,AGHNDMYRUJOLLYU3ZCO7FZJOFJUA,AFARAZP3IF343NCQTLZA27FJNIQQ,AEGGIMWBMF527D35B4MPSIRF7I3A,AFXYNRL37KVTOBVKIVMSHZPZWBCQ,AF7Z6AXMT4QMKJNV6CH6XRIVGVPQ",134.0,True,1
"AE6DY6YWTSSE3XNHDXZDGQM2JL2Q,AES3UPSNCD37JZLHZ3OIILRLLLCA,AESL7YEFFKTIZRBEDUCMD56K6VQA,AHEV734TKPP6CEJPWIMMHA65SL2A,AGBLMQ2TLWRDFQ32LGRIVVPYOQVQ,AHKUSAJGBXVQQSDC4RCKHF6PFODQ,AEPEJSIYSFPXKOXPS2QHZ7P5VCIA,AEU44FW4XJBDB33N4LYZMVLOUYOA",279.0,True,1
"AE6QIRYYQXWBXRANCBNV7UQU3C3Q,AFR73WEZI4S76UC6WTRTOM27ENZQ,AFCBKJAWH4J2UWEUQEGSVYNFT2YA,AFDKMC6DZFM4M7BKRFA4APKCYZHQ,AECLFSQIEBC26S2ZU7FRYDI66W2A,AFTZLBOMSZSCBJ7CK5VXRSA6FGMQ,AH3HKWLRRJWVLWWNSNRI67WU77ZQ,AHMPP4TKEPMV7DE5QB5NSFTTXUPQ",399.0,True,1
AE7CFHY23VAJT2FI4NZKKP6GS2UQ,199.0,True,1
"AE7M7M6QTDYEHQKAKXIWO2OVMBXQ,AESSDAJQCU3XKBAGYDYVBCKLOTSQ,AF3DTQ5WLDISMZLEORWHXTLHV3NQ,AHF2BSEZURS7UKI23YIHED3UIJKQ,AFZKPE6ZA4U5QVICSDRTTYN7PJEQ,AECBX5NSUD2POXPYXHZSETUVH5CA,AGRBDMHDBF2KXPBPF4S5PAVY3NYQ,AG6Z3AUD67XGSSTZOR6GZX3IC3DA",160.0,True,1
"AE7RG5GRVSLRP2HGPKIF2JJ7BAHQ,AFCDHTYGHMNLNK2S3X6JVQOT6AXA,AG3JRPG6MIZTLYNMIRBGFYDZVLBQ,AGFY572BCNP6M74AI2RXGPJTWC7A,AF56KWTGYOCMXLKEJHOSIUZSVZ4A,AF276RVUYCN7YJGIRUR2HDODWF7A,AH4ZIAFAMC5PBWBHQZDSHS2JHUBQ,AFBJNCLV6XVUCTE24MRPXR4IURXQ",475.0,True,1
"AEACCLBAYRCRJLUMTQVS5JSOYYVA,AETROJMOXLWYXXLMLCU7KW4HXETA,AH4BA34R2VIOKQRIJLXUDKFR3MQQ,AFYSXQBPVL6SBVWFIUWXNK5P2FWQ,AENMVCXATZBLHQGMVGSSY4XTNKRA,AHGP46O5MO2FPEVAHZM6A7EZHAEA,AGAHJYQQHZEZZ7ZVR7557735PGVQ,AET4QQ4FHIRE6OWDOEU2264PW27Q",326.0,True,1
"AEACEPNVLWUZDAPOTC4PB6YMDU4A,AH4HHPHQEEW6TGP4SIWHZPZAUM3Q,AHQOM5PWAU6KFW3HTQIT4BOV2XEQ,AERKVDGB67MRPUA7EHTNJYGY7JAA,AF6MFZXNYSO5M47G6B3UUTJAINPQ,AF2EXNHBVW22JUI2M3SOSBOLFKTA,AGIJXNFC5UX7UAPUWQCEFE2IN43A,AFU2G5BSSM76EG3V5K6ZIZ3NVIRQ",457.0,True,1
"AEAD2LHI2R3QVR3AQKOPB523SVUA,AGHZS375UQZ6XK6BYQCZ2YJ4TX6A,AE3EZWQC4YBZLYGELTAF4RPD4YVQ,AGHNTOZPHJSNZXAV6VXZ55QQS2VA,AE34CJ4WMOVB26TU5H42L74U5DGA,AEMLPNYNPF73NMFYHSSXRCYO2OGQ,AER43SPS7UTEVRDP7YPU3HTOQA3A,AHF2MPFWRSCS6OXUZ3D5W3C37CRA",252.0,True,1
"AEAHCVLMYLKLICSIKCTUS54NVQ2A,AFRIWQJKFSDZKTRTU5RSBKSQMIVA,AHFQXP2EQZOT7NTNHK5TMB6QA5QQ,AGLL6YL7RHHSDDGKWQO7ZIG3TXDQ,AGT4T2NBHXL5XVSRRCKSIGW7LDJA,AEAZZCC5KRGSGXGTGBRNK2O6IDAQ,AGBESE5F5QORNV2B6HE4UL4AMZ7Q,AE7QJ5FKTIU6K26GFQWGMXKO2MGQ",253.0,True,1
"AEB6ZUPDFZXQWXHE72JVVSO4ZFGA,AHPZYFKIAW7DX6SSCSGI27FGMZTQ,AFMXLK3YUJVFGQV33RBZQ4IDUPTA,AHMG256GFFJ3XGDBZ33VX2SHQ4OQ,AGWJWL3N6X3HBXK4SKRP6FWDSBGA,AEUNYC2KUYOZRA2TH2WTZ3RG44WA,AHEMPQZQUAERYFBDHQWBEN2KXO2A,AF4ND7E7FHRXWLU2TP27B7BIRJBQ",279.0,True,1
"AEBNUYHIR7GVMMLJXH5ONPDIJF7Q,AGPI7NG4ZSTCPPICRFVFF3BZZKJA,AF2ZSXZS5476YN4AMMKPGHYPSUNA,AGI5JYP2PTBS5BOW72RQ5IOS5WDA,AHLV2WM2F4G6ZNVZQ5QFP54YKIYQ,AFQBR22IILK5VURY2SHERMQK4GQA,AE5MAL4I5X3GDH2YF3MSDC5BPQCA,AG3VYIAF4Y62PHDG5OAJK2KF4X3A",219.0,True,1
"AEBO2BBZLCJSQSMQSSZUR4JWW6UA,AFERB3TDE3HAUIGGRZAO7LNF7SYA,AEL6TWTQL7SWNSG4HKWQSG3W637Q,AEL2KKF43WA7LB7RMTMTZ24MKYCQ,AFMZ2T55AMKECVHVB3JJ5H6K2FOA,AHPDB57FWX3S3RH23DO7ZDQRGDLQ,AHNJJSSGE5AONEUXED5DKSZWMXVQ,AGX75LWRUNOTPPS7R6LLOIMAWS6Q",499.0,True,1
"AEC4ANXPPWN4RV5YG4JXEVPUXTHA,AGDQOOPS6XJBBWHH34E4NJJUCN6Q,AE7QAFZ3XNWF3O4BK4WIGFB3JGIQ,AFVQ5YGAAENELAHUFPH2MAVYIWTQ,AHTWP7R2AL6U4QIX73CNJ7Y7BBDQ,AEHQERYQKTKY5OMTF5KOWEIVCSQA,AGHYPI3NVH2LTDBF4N7QXV5CQEVA,AHCA5SEFUQQWPNVIGU2QCAWNMDKA",199.0,True,1
